# x y error_dist error_ang_rad delta_f_rad delta_r_rad omega_rads
-3.010828605084921783e+00 -1.976770404924400149e+00 3.878864238315293811e+00 -1.136170333632600116e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-3.060532374461874205e+00 -1.978986009664113865e+00 3.922828227486553132e+00 -1.131836231291237116e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-3.085778931754040944e+00 -1.978340790322734133e+00 3.944323605730268412e+00 -1.119420030144185674e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-3.130347294078684950e+00 -1.979059964891272116e+00 3.983300541493644431e+00 -1.112541948075771447e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-3.157343206929549950e+00 -1.981182989817657170e+00 4.007800247900584090e+00 -1.116730363749468768e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-3.199418172454778553e+00 -1.980096532506488316e+00 4.043896278389116361e+00 -1.104976405136077311e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-3.223902964937197524e+00 -1.977967490955598429e+00 4.064226123293244619e+00 -1.090255532424171170e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-3.260428986661997097e+00 -1.978545792395915548e+00 4.096452442882486444e+00 -1.090159063835617115e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-3.284621377337027859e+00 -1.977430279512979450e+00 4.117116612654575292e+00 -1.076428171666777622e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-3.333611025582072340e+00 -1.975943336430992403e+00 4.159445741651252249e+00 -1.064723801747966991e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-3.366580748293208192e+00 -1.974252953905088370e+00 4.187689846125019599e+00 -1.062046364012973809e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-3.409140930584331208e+00 -1.971992179549678648e+00 4.224215315547871441e+00 -1.058740234224636811e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-3.435431555697907147e+00 -1.970625682085933805e+00 4.246848823766814718e+00 -1.056562222908230764e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-3.474974114963128802e+00 -1.966871072100860651e+00 4.280189248766012255e+00 -1.049175198956327604e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-3.501232336849061433e+00 -1.964306951548468128e+00 4.302356446688038183e+00 -1.042686265725106365e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-3.530936644864297591e+00 -1.960457919890031153e+00 4.327060075308533094e+00 -1.033246603592899993e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-3.571621805572635200e+00 -1.954161632250623892e+00 4.360543539227317744e+00 -1.020963301268616341e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-3.601697493497892033e+00 -1.949456587493306081e+00 4.385357116275552691e+00 -1.012266870216551595e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-3.648453031709677497e+00 -1.943066558529103816e+00 4.424477666412220955e+00 -1.001215414553199512e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
